entity,domain,subcategory,source,language
Christopher Chizoba,family_and_kinship,person_name,wikidata,en
Charles Ayo,family_and_kinship,person_name,wikidata,en
Sam Mbakwe,family_and_kinship,person_name,wikidata,en
Joseph Orji,family_and_kinship,person_name,wikidata,en
Josephine Anenih,family_and_kinship,person_name,wikidata,en
Kate Henshaw,family_and_kinship,person_name,wikidata,en
Kenneth Onwuka Dike,family_and_kinship,person_name,wikidata,en
Luke Chijiuba Ochulor,family_and_kinship,person_name,wikidata,en
Lynda Chuba-Ikpeazu,family_and_kinship,person_name,wikidata,en
Mike Ezuruonye,family_and_kinship,person_name,wikidata,en
Mike Mbama Okiro,family_and_kinship,person_name,wikidata,en
Minah Bird,family_and_kinship,person_name,wikidata,en
Ndubuisi Eze,family_and_kinship,person_name,wikidata,en
Ndubuisi Okosieme,family_and_kinship,person_name,wikidata,en
Ngozi Monu,family_and_kinship,person_name,wikidata,en
Nkemdilim Izuako,family_and_kinship,person_name,wikidata,en
Nwachukwu Uti,family_and_kinship,person_name,wikidata,en
Nwafor Orizu,family_and_kinship,person_name,wikidata,en
O. C. Ukeje,family_and_kinship,person_name,wikidata,en
Obi Emmanuel Moneke,family_and_kinship,person_name,wikidata,en
Obiageli Katryn Ezekwesili,family_and_kinship,person_name,wikidata,en
Obinna Charles Okwelume,family_and_kinship,person_name,wikidata,en
Obinna Nwachukwu,family_and_kinship,person_name,wikidata,en
Obiora Udechukwu,family_and_kinship,person_name,wikidata,en
Obiwon,family_and_kinship,person_name,wikidata,en
Ogbonna Okechukwu Onovo,family_and_kinship,person_name,wikidata,en
Okwesilieze Nwodo,family_and_kinship,person_name,wikidata,en
Oliver De Coque,family_and_kinship,person_name,wikidata,en
Onyeabor Ngwogu,family_and_kinship,person_name,wikidata,en
Onyebuchi Chukwu,family_and_kinship,person_name,wikidata,en
Onyeka Ibe,family_and_kinship,person_name,wikidata,en
Onyeka Nwelue,family_and_kinship,person_name,wikidata,en
Osita Iheme,family_and_kinship,person_name,wikidata,en
Peter Ogar,family_and_kinship,person_name,wikidata,en
Robert Akonobi,family_and_kinship,person_name,wikidata,en
Samson Omeruah,family_and_kinship,person_name,wikidata,en
Sebastian Okechukwu Mezu,family_and_kinship,person_name,wikidata,en
Stephen Chukwumah,family_and_kinship,person_name,wikidata,en
Thomas Aguiyi-Ironsi,family_and_kinship,person_name,wikidata,en
Tochukwu Oluehi,family_and_kinship,person_name,wikidata,en
Victor Ozodinobi,family_and_kinship,person_name,wikidata,en
Zack Orji,family_and_kinship,person_name,wikidata,en
Charles Nwokolo,family_and_kinship,person_name,wikidata,en
Chidozie Johnson,family_and_kinship,person_name,wikidata,en
Obi Emegano,family_and_kinship,person_name,wikidata,en
Chimezie Metu,family_and_kinship,person_name,wikidata,en
Ndubuisi Ekekwe,family_and_kinship,person_name,wikidata,en
Ndidi Madu,family_and_kinship,person_name,wikidata,en
Chike,family_and_kinship,person_name,wikidata,en
Somkele Iyamah,family_and_kinship,person_name,wikidata,en
Chinelo Anohu-Amazu,family_and_kinship,person_name,wikidata,en
Nancy Isime,family_and_kinship,person_name,wikidata,en
Christy Ohiaeriaku,family_and_kinship,person_name,wikidata,en
Adanna Nwaneri,family_and_kinship,person_name,wikidata,en
Adaku Okoroafor,family_and_kinship,person_name,wikidata,en
Ngozi Ezeocha,family_and_kinship,person_name,wikidata,en
Nkechi Mbilitam,family_and_kinship,person_name,wikidata,en
June Eric-Udorie,family_and_kinship,person_name,wikidata,en
Chicmah Obodo,family_and_kinship,person_name,wikidata,en
Adaoha Ugo-Ngadi,family_and_kinship,person_name,wikidata,en
Chinyere Kalu,family_and_kinship,person_name,wikidata,en
Amaechi Muonagor,family_and_kinship,person_name,wikidata,en
Chinedum Iregbu,family_and_kinship,person_name,wikidata,en
Ebele Okaro,family_and_kinship,person_name,wikidata,en
Tony Nwoye,family_and_kinship,person_name,wikidata,en
Nkeiruka Onyejeocha,family_and_kinship,person_name,wikidata,en
Rachael Okonkwo,family_and_kinship,person_name,wikidata,en
Chima Akas,family_and_kinship,person_name,wikidata,en
Emeka Friday Eze,family_and_kinship,person_name,wikidata,en
Nwando Achebe,family_and_kinship,person_name,wikidata,en
Raph Uwechue,family_and_kinship,person_name,wikidata,en
Chris Okolie,family_and_kinship,person_name,wikidata,en
Obinna Chidoka,family_and_kinship,person_name,wikidata,en
Obiora Aniche,family_and_kinship,person_name,wikidata,en
Chime Oji,family_and_kinship,person_name,wikidata,en
Chinda Ogundu,family_and_kinship,person_name,wikidata,en
Chukwuemeka Anohu,family_and_kinship,person_name,wikidata,en
Chukwuka Onyema,family_and_kinship,person_name,wikidata,en
Chukwukere Austine,family_and_kinship,person_name,wikidata,en
Chukwuma Nwazunku,family_and_kinship,person_name,wikidata,en
Darlington Nwokocha,family_and_kinship,person_name,wikidata,en
Emeka Idu,family_and_kinship,person_name,wikidata,en
Nkem Uzoma,family_and_kinship,person_name,wikidata,en
Nwokolo Victor,family_and_kinship,person_name,wikidata,en
Chioma Wogu,family_and_kinship,person_name,wikidata,en
Chidera Ejuke,family_and_kinship,person_name,wikidata,en
Ndidi Ngwuluka,family_and_kinship,person_name,wikidata,en
Daddy Fresh,family_and_kinship,person_name,wikidata,en
Ngozi Nwokocha,family_and_kinship,person_name,wikidata,en
Alexander Nwora,family_and_kinship,person_name,wikidata,en
Chioma Udeaja,family_and_kinship,person_name,wikidata,en
Nkechi Akashili,family_and_kinship,person_name,wikidata,en
Emeka Umeh,family_and_kinship,person_name,wikidata,en
Sandra Ezekwesili,family_and_kinship,person_name,wikidata,en
Mercy Chinwo-Blessed,family_and_kinship,person_name,wikidata,en
Ime Bishop Umoh,family_and_kinship,person_name,wikidata,en
Ada Osakwe,family_and_kinship,person_name,wikidata,en
Akachi Ezeigbo,family_and_kinship,person_name,wikidata,en
Onyekachi Okafor,family_and_kinship,person_name,wikidata,en
Paschaline Alex Okoli,family_and_kinship,person_name,wikidata,en
Bartho Okolo,family_and_kinship,person_name,wikidata,en
Christian Ohiri,family_and_kinship,person_name,wikidata,en
Benjamin Chukwuma Ozumba,family_and_kinship,person_name,wikidata,en
Osita Nebo,family_and_kinship,person_name,wikidata,en
Christopher Okonkwo,family_and_kinship,person_name,wikidata,en
Chris Ihidero,family_and_kinship,person_name,wikidata,en
Obinna Onwujekwe,family_and_kinship,person_name,wikidata,en
Herbert C. Kodilinye,family_and_kinship,person_name,wikidata,en
Chinedu Udoji,family_and_kinship,person_name,wikidata,en
Emeka Ogbugh,family_and_kinship,person_name,wikidata,en
Chinazum Nwosu,family_and_kinship,person_name,wikidata,en
Chizzy Alichi,family_and_kinship,person_name,wikidata,en
Akwaeke Emezi,family_and_kinship,person_name,wikidata,en
Chigozie C. Asiabaka,family_and_kinship,person_name,wikidata,en
Sharon Ezeamaka,family_and_kinship,person_name,wikidata,en
Uzoamaka Aniunoh,family_and_kinship,person_name,wikidata,en
Chike Frankie Edozien,family_and_kinship,person_name,wikidata,en
Emeka Okenwa,family_and_kinship,person_name,wikidata,en
Amarachi Okoronkwo,family_and_kinship,person_name,wikidata,en
Charity Reuben,family_and_kinship,person_name,wikidata,en
Ijeoma Umebinyuo,family_and_kinship,person_name,wikidata,en
Victoria Adaobi Obasi,family_and_kinship,person_name,wikidata,en
Chukwuma Okorafor,family_and_kinship,person_name,wikidata,en
Cosmas Maduka,family_and_kinship,person_name,wikidata,en
Chinweoke Chikwelu,family_and_kinship,person_name,wikidata,en
Emeka Sibeudu,family_and_kinship,person_name,wikidata,en
Chinwe Nwogo Ezeani,family_and_kinship,person_name,wikidata,en
Lota Chukwu,family_and_kinship,person_name,wikidata,en
Chy Nwakanma,family_and_kinship,person_name,wikidata,en
Ngozi Nwosu,family_and_kinship,person_name,wikidata,en
Etinosa Idemudia,family_and_kinship,person_name,wikidata,en
Sonny Chu Okongwu,family_and_kinship,person_name,wikidata,en
Chuks Angel,family_and_kinship,person_name,wikidata,en
Christian Ezike,family_and_kinship,person_name,wikidata,en
Tobechukwu Victor Okoh,family_and_kinship,person_name,wikidata,en
Mr Real,family_and_kinship,person_name,wikidata,en
Obi Enechionyia,family_and_kinship,person_name,wikidata,en
Chinweizu Ejikeme Udobi,family_and_kinship,person_name,wikidata,en
Chris Ebigbo,family_and_kinship,person_name,wikidata,en
Zoro,family_and_kinship,person_name,wikidata,en
Victor Osuagwu,family_and_kinship,person_name,wikidata,en
Chioma Chukwuka,family_and_kinship,person_name,wikidata,en
Chidi Nwaogu,family_and_kinship,person_name,wikidata,en
Mary Nzimiro,family_and_kinship,person_name,wikidata,en
Tony Uchenna Ubesie,family_and_kinship,person_name,wikidata,en
Patience Ozokwor,family_and_kinship,person_name,wikidata,en
Samuel Chukwueze,family_and_kinship,person_name,wikidata,en
Micheal Adeniji,family_and_kinship,person_name,wikidata,en
Dr. Vincent Anayochukwu Ani,family_and_kinship,person_name,wikidata,en
Nkem Akaraiwe,family_and_kinship,person_name,wikidata,en
Tana Adelana,family_and_kinship,person_name,wikidata,en
Chidinma Favour Edeji,family_and_kinship,person_name,wikidata,en
Chioma Opara,family_and_kinship,person_name,wikidata,en
IK Ogbonna,family_and_kinship,person_name,wikidata,en
Chinaza Uchendu,family_and_kinship,person_name,wikidata,en
Chiamaka Cynthia Nnadozie,family_and_kinship,person_name,wikidata,en
Christy Ucheibe,family_and_kinship,person_name,wikidata,en
Zubby Michael,family_and_kinship,person_name,wikidata,en
Nedu Wazobia,family_and_kinship,person_name,wikidata,en
Chibueze Clement Udeani,family_and_kinship,person_name,wikidata,en
Chijioke Igwe,family_and_kinship,person_name,wikidata,en
Wendy Okolo,family_and_kinship,person_name,wikidata,en
Nkiru Balonwu,family_and_kinship,person_name,wikidata,en
Chidinma Okeke,family_and_kinship,person_name,wikidata,en
Chukwuemeka Fred Agbata,family_and_kinship,person_name,wikidata,en
Eric Kelechi Igwe,family_and_kinship,person_name,wikidata,en
Cecilia Ezeilo,family_and_kinship,person_name,wikidata,en
Chinwendu Johan Nkama,family_and_kinship,person_name,wikidata,en
Chinenye Nzom,family_and_kinship,person_name,wikidata,en
Chinedum Enyinnaya Orji,family_and_kinship,person_name,wikidata,en
Nkem Okocha,family_and_kinship,person_name,wikidata,en
Amarachi Nwosu,family_and_kinship,person_name,wikidata,en
Otosirieze Obi-Young,family_and_kinship,person_name,wikidata,en
Nkechi Agwu,family_and_kinship,person_name,wikidata,en
Chuka Odom,family_and_kinship,person_name,wikidata,en
Chris Okagbue,family_and_kinship,person_name,wikidata,en
Vivian Okeke,family_and_kinship,person_name,wikidata,en
Mercy Eke,family_and_kinship,person_name,wikidata,en
Pius Nwankwo Okeke,family_and_kinship,person_name,wikidata,en
Onyeche Tifase,family_and_kinship,person_name,wikidata,en
Nonso Bassey,family_and_kinship,person_name,wikidata,en
Ngozi Echems,family_and_kinship,person_name,wikidata,en
Chinonye Chidolue,family_and_kinship,person_name,wikidata,en
Chuks Nwoko,family_and_kinship,person_name,wikidata,en
Ngozi Uduma,family_and_kinship,person_name,wikidata,en
Sarah Ogidi,family_and_kinship,person_name,wikidata,en
ABC Nwosu,family_and_kinship,person_name,wikidata,en
Patrick Obi Ngoddy,family_and_kinship,person_name,wikidata,en
Allen Ifechukwu Onyema,family_and_kinship,person_name,wikidata,en
Ada Ameh,family_and_kinship,person_name,wikidata,en
Keppy Ekpenyong,family_and_kinship,person_name,wikidata,en
Nenny B,family_and_kinship,person_name,wikidata,en
Ifeanyi Kalu,family_and_kinship,person_name,wikidata,en
Jennifer Eliogu,family_and_kinship,person_name,wikidata,en
Uche Elendu,family_and_kinship,person_name,wikidata,en
Kelvin Ikeduba,family_and_kinship,person_name,wikidata,en
Kenneth Okolie,family_and_kinship,person_name,wikidata,en
Obidike Lawrence Ezeilo,family_and_kinship,person_name,wikidata,en
Chukwuma Ezeilo,family_and_kinship,person_name,wikidata,en
Chikadibia Ofili,family_and_kinship,person_name,wikidata,en
Chika Ejikeugwu,family_and_kinship,person_name,wikidata,en
Ngozi Egbuna,family_and_kinship,person_name,wikidata,en
Chinyere Anokwuru,family_and_kinship,person_name,wikidata,en
Obinna Iyiegbu,family_and_kinship,person_name,wikidata,en
Emeka B Kesieme,family_and_kinship,person_name,wikidata,en
Chinonye Akunne,family_and_kinship,person_name,wikidata,en
Admiral C4C,family_and_kinship,person_name,wikidata,en
Nwaka Chioma,family_and_kinship,person_name,wikidata,en
Chineme Martins,family_and_kinship,person_name,wikidata,en
Chukwuma Agugbue,family_and_kinship,person_name,wikidata,en
Nkiru Onyeagocha,family_and_kinship,person_name,wikidata,en
Ijeoma Nwaogwugwu,family_and_kinship,person_name,wikidata,en
Chinyere Stella Okunna,family_and_kinship,person_name,wikidata,en
Christy A.N. Okoromah,family_and_kinship,person_name,wikidata,en
Chizor Malize,family_and_kinship,person_name,wikidata,en
Amara Kanu Nwankwo,family_and_kinship,person_name,wikidata,en
Chinwe Esimai,family_and_kinship,person_name,wikidata,en
Chinyere Wilfred,family_and_kinship,person_name,wikidata,en
Ivy Uche Okoronkwo,family_and_kinship,person_name,wikidata,en
Audrey Joe-Ezigbo,family_and_kinship,person_name,wikidata,en
Joyce Kalu,family_and_kinship,person_name,wikidata,en
Rita Daniels,family_and_kinship,person_name,wikidata,en
Chinedu Ekene,family_and_kinship,person_name,wikidata,en
Speed Darlington,family_and_kinship,person_name,wikidata,en
Chiedozie Akwiwu,family_and_kinship,person_name,wikidata,en
Chiudo Ehiudo,family_and_kinship,person_name,wikidata,en
Chidinma Okoro,family_and_kinship,person_name,wikidata,en
Chioma Nwankwo,family_and_kinship,person_name,wikidata,en
Vivian Ikechukwu,family_and_kinship,person_name,wikidata,en
Obiora Anidi,family_and_kinship,person_name,wikidata,en
CKay,family_and_kinship,person_name,wikidata,en
Chinonso Henry,family_and_kinship,person_name,wikidata,en
Joy Onumajuru,family_and_kinship,person_name,wikidata,en
Chioma Ikokwu,family_and_kinship,person_name,wikidata,en
Chinonyerem Macleans,family_and_kinship,person_name,wikidata,en
Chinwe Egwim,family_and_kinship,person_name,wikidata,en
Chima Moneke,family_and_kinship,person_name,wikidata,en
Nnamdi Ekeh,family_and_kinship,person_name,wikidata,en
Cheta Chukwu,family_and_kinship,person_name,wikidata,en
Udoka Oyeka,family_and_kinship,person_name,wikidata,en
Chichi Gift  Egbule,family_and_kinship,person_name,wikidata,en
Elvina Ibru,family_and_kinship,person_name,wikidata,en
Roy Umahi Nwaeze,family_and_kinship,person_name,wikidata,en
Chinelo Iyadi,family_and_kinship,person_name,wikidata,en
Anayo Iwuala,family_and_kinship,person_name,wikidata,en
Rita Edochie,family_and_kinship,person_name,wikidata,en
Nnenna Oti,family_and_kinship,person_name,wikidata,en
Nkechi Blessing Sunday,family_and_kinship,person_name,wikidata,en
Placid Njoku,family_and_kinship,person_name,wikidata,en
Stanley Nwabili,family_and_kinship,person_name,wikidata,en
Michelle Gentry,family_and_kinship,person_name,wikidata,en
Josh Alfred,family_and_kinship,person_name,wikidata,en
Thelma Njemanze,family_and_kinship,person_name,wikidata,en
Favour Ugochi Anosike,family_and_kinship,person_name,wikidata,en
Ijeoma Lucia Ojukwu,family_and_kinship,person_name,wikidata,en
Uzor Arukwe,family_and_kinship,person_name,wikidata,en
Maduebibisi Iwe,family_and_kinship,person_name,wikidata,en
Uche Angelina Chioma,family_and_kinship,person_name,wikidata,en
Umunnakwe Gertude Chinwendu,family_and_kinship,person_name,wikidata,en
Ngozi Osuchukwu,family_and_kinship,person_name,wikidata,en
Chibuike Benjamin Nnonah,family_and_kinship,person_name,wikidata,en
Elma Mbadiwe,family_and_kinship,person_name,wikidata,en
Uche Nwaefuna,family_and_kinship,person_name,wikidata,en
Emem Inwang,family_and_kinship,person_name,wikidata,en
Kingsley Abasili,family_and_kinship,person_name,wikidata,en
Adaeze Onuigbo,family_and_kinship,person_name,wikidata,en
Mercy Kenneth Okonkwo,family_and_kinship,person_name,wikidata,en
Romanus O. Ukaigwe,family_and_kinship,person_name,wikidata,en
Nwokicha Udo Nwokocha,family_and_kinship,person_name,wikidata,en
Ogbomo Monday obaidjevwe,family_and_kinship,person_name,wikidata,en
Matilda Lambert,family_and_kinship,person_name,wikidata,en
Sharon Ifedi,family_and_kinship,person_name,wikidata,en
Chika Ikenga,family_and_kinship,person_name,wikidata,en
Felix Onwuchekwa Nwabuko,family_and_kinship,person_name,wikidata,en
Emeka Ilechukwu,family_and_kinship,person_name,wikidata,en
Rachel Ashegbofe Ikemeh,family_and_kinship,person_name,wikidata,en
Chimaobi Ebisike,family_and_kinship,person_name,wikidata,en
Chuma Nwokolo Jr.,family_and_kinship,person_name,wikidata,en
Gilbert Onyekachukwu Ibezim,family_and_kinship,person_name,wikidata,en
Amara Nicole Okolo,family_and_kinship,person_name,wikidata,en
Paul Agu,family_and_kinship,person_name,wikidata,en
Elsie Nwokolo,family_and_kinship,person_name,wikidata,en
Obinna Udenwe,family_and_kinship,person_name,wikidata,en
Martha Ibezim,family_and_kinship,person_name,wikidata,en
Ngozi Okafor,family_and_kinship,person_name,wikidata,en
Chioma Iwunze Ibiam.,family_and_kinship,person_name,wikidata,en
Alexander Emmanuel Ochogwu,family_and_kinship,person_name,wikidata,en
Nnamdi Ehirim,family_and_kinship,person_name,wikidata,en
T. Uzodinma Nwala,family_and_kinship,person_name,wikidata,en
Korra Obidi,family_and_kinship,person_name,wikidata,en
Moses Ebere,family_and_kinship,person_name,wikidata,en
Ekene Som Mekwunye,family_and_kinship,person_name,wikidata,en
Ifeanyi Ikpoenyi,family_and_kinship,person_name,wikidata,en
Peter Mbah,family_and_kinship,person_name,wikidata,en
Jude Chukwuka,family_and_kinship,person_name,wikidata,en
Akah Nnani,family_and_kinship,person_name,wikidata,en
Chimezie Obi-iwuagwu,family_and_kinship,person_name,wikidata,en
Ijeoma Onyeator,family_and_kinship,person_name,wikidata,en
Nwifuru Francis,family_and_kinship,person_name,wikidata,en
Alexander Madiebo,family_and_kinship,person_name,wikidata,en
Nkwo Onwuka-Binitie,family_and_kinship,person_name,wikidata,en
Cross Okonkwo,family_and_kinship,person_name,wikidata,en
Kelvin Mary Ndukwe,family_and_kinship,person_name,wikidata,en
Benjamin Chiedu,family_and_kinship,person_name,wikidata,en
Chineye Onah,family_and_kinship,person_name,wikidata,en
Evans Odiagbe,family_and_kinship,person_name,wikidata,en
Nwogu Victory Emeka,family_and_kinship,person_name,wikidata,en
Obinna Nwaka,family_and_kinship,person_name,wikidata,en
Onyendika Ibeji,family_and_kinship,person_name,wikidata,en
Blessing Onwukwe,family_and_kinship,person_name,wikidata,en
Uyoyou Adia,family_and_kinship,person_name,wikidata,en
Obi Maduegbuna,family_and_kinship,person_name,wikidata,en
Uche Abuah,family_and_kinship,person_name,wikidata,en
Arthur Eze,family_and_kinship,person_name,wikidata,en
Austin Faani,family_and_kinship,person_name,wikidata,en
Bryant Orjiako,family_and_kinship,person_name,wikidata,en
Ego Nwosu,family_and_kinship,person_name,wikidata,en
John Madueke,family_and_kinship,person_name,wikidata,en
Chioma Onyenwe,family_and_kinship,person_name,wikidata,en
Chris Eneng Enaji,family_and_kinship,person_name,wikidata,en
Ifan Ifeanyi Michael,family_and_kinship,person_name,wikidata,en
Kelechi Freeman Ukadike,family_and_kinship,person_name,wikidata,en
Alexandra Sandra Asogwa,family_and_kinship,person_name,wikidata,en
Cynthia Okereke,family_and_kinship,person_name,wikidata,en
Diche Enunwa,family_and_kinship,person_name,wikidata,en
Emeka Enyiocha,family_and_kinship,person_name,wikidata,en
Onyebuchi Franklin Odurukwe (Bucci Franklin),family_and_kinship,person_name,wikidata,en
Pauline Dike,family_and_kinship,person_name,wikidata,en
Roy Denani,family_and_kinship,person_name,wikidata,en
Stan Amadi,family_and_kinship,person_name,wikidata,en
Chinenye Okwudili Balogun,family_and_kinship,person_name,wikidata,en
David Orere,family_and_kinship,person_name,wikidata,en
Jennifer Obodo,family_and_kinship,person_name,wikidata,en
Lisa Onu,family_and_kinship,person_name,wikidata,en
Nelly Ejianwu,family_and_kinship,person_name,wikidata,en
Onyi Alex,family_and_kinship,person_name,wikidata,en
Victoria Egbuchere,family_and_kinship,person_name,wikidata,en
Anthonieta Kalunta,family_and_kinship,person_name,wikidata,en
Jerry Williams,family_and_kinship,person_name,wikidata,en
Chika Onukwufor,family_and_kinship,person_name,wikidata,en
Adaeze Eluke,family_and_kinship,person_name,wikidata,en
Andy Amenechi,family_and_kinship,person_name,wikidata,en
Charles Okafor,family_and_kinship,person_name,wikidata,en
Chika Anyanwu,family_and_kinship,person_name,wikidata,en
Chisom Tatiana Steve,family_and_kinship,person_name,wikidata,en
Dan Orieke Orji,family_and_kinship,person_name,wikidata,en
Gab Onyi Okoye,family_and_kinship,person_name,wikidata,en
Ifeanyi Azodo,family_and_kinship,person_name,wikidata,en
Joe Nwosu,family_and_kinship,person_name,wikidata,en
Joy Odiete,family_and_kinship,person_name,wikidata,en
Juliet Njemanze,family_and_kinship,person_name,wikidata,en
Kenneth Nnebue,family_and_kinship,person_name,wikidata,en
Madu Chikwendu,family_and_kinship,person_name,wikidata,en
Nkiru Egwim,family_and_kinship,person_name,wikidata,en
Nkiru Umeh,family_and_kinship,person_name,wikidata,en
Nnenna Nwabueze,family_and_kinship,person_name,wikidata,en
Okorie Okereke,family_and_kinship,person_name,wikidata,en
Oscar Atuma,family_and_kinship,person_name,wikidata,en
Rita Nzelu,family_and_kinship,person_name,wikidata,en
Uche Ebere Agu,family_and_kinship,person_name,wikidata,en
Afam Okereke,family_and_kinship,person_name,wikidata,en
Augustine Ejike,family_and_kinship,person_name,wikidata,en
Chinwe Owoh,family_and_kinship,person_name,wikidata,en
Chris Onyenso,family_and_kinship,person_name,wikidata,en
Chuks Obiora,family_and_kinship,person_name,wikidata,en
Dandy C. Echefu,family_and_kinship,person_name,wikidata,en
Emeka Nwabueze,family_and_kinship,person_name,wikidata,en
Enadio Odigie,family_and_kinship,person_name,wikidata,en
Ernest Asuzu,family_and_kinship,person_name,wikidata,en
Fabian Adibe,family_and_kinship,person_name,wikidata,en
Gadiel Onwudiwe,family_and_kinship,person_name,wikidata,en
Ignis Ekwe,family_and_kinship,person_name,wikidata,en
Ijeoma Angel Boniface,family_and_kinship,person_name,wikidata,en
Ikenna Emma Aniekwe,family_and_kinship,person_name,wikidata,en
Ikenna Ezeugwu,family_and_kinship,person_name,wikidata,en
Iyke Odife,family_and_kinship,person_name,wikidata,en
John Nwaobi,family_and_kinship,person_name,wikidata,en
John Uche,family_and_kinship,person_name,wikidata,en
Kalu Anya,family_and_kinship,person_name,wikidata,en
Kingsley Ogbonna,family_and_kinship,person_name,wikidata,en
Lanre Falana,family_and_kinship,person_name,wikidata,en
Larry Ikpoenyi,family_and_kinship,person_name,wikidata,en
Larry Koldsweat,family_and_kinship,person_name,wikidata,en
Leo Mezie,family_and_kinship,person_name,wikidata,en
Louisa Nwobodo,family_and_kinship,person_name,wikidata,en
Mac-Collins Chidebe,family_and_kinship,person_name,wikidata,en
Marie Eboka,family_and_kinship,person_name,wikidata,en
McMorris Ndubueze,family_and_kinship,person_name,wikidata,en
Ndubuisi Okoh,family_and_kinship,person_name,wikidata,en
Nnamdi Eze,family_and_kinship,person_name,wikidata,en
Nonso Emekaekwue,family_and_kinship,person_name,wikidata,en
Obi Okoli,family_and_kinship,person_name,wikidata,en
Obio Oluebube,family_and_kinship,person_name,wikidata,en
Ojiofor Ezeanyaeche,family_and_kinship,person_name,wikidata,en
Okechukwu Obioha,family_and_kinship,person_name,wikidata,en
Prince James Uche,family_and_kinship,person_name,wikidata,en
Solomon Nwoko,family_and_kinship,person_name,wikidata,en
Stella Ikwuegbu,family_and_kinship,person_name,wikidata,en
Tom Njemanze,family_and_kinship,person_name,wikidata,en
Tony Muonagor,family_and_kinship,person_name,wikidata,en
Uche Ama Abriel,family_and_kinship,person_name,wikidata,en
Udochi Anthony,family_and_kinship,person_name,wikidata,en
Ugo Ugbor,family_and_kinship,person_name,wikidata,en
Uju Okoli,family_and_kinship,person_name,wikidata,en
Zik Zulu Okafor,family_and_kinship,person_name,wikidata,en
Austin Chima,family_and_kinship,person_name,wikidata,en
Best Okoduwa,family_and_kinship,person_name,wikidata,en
Bobby Obodo,family_and_kinship,person_name,wikidata,en
Chibuzor Afurobi,family_and_kinship,person_name,wikidata,en
Chioma Adibe,family_and_kinship,person_name,wikidata,en
Dabby Chimere,family_and_kinship,person_name,wikidata,en
Ejike Chinedu Obim,family_and_kinship,person_name,wikidata,en
Ethan Okwara,family_and_kinship,person_name,wikidata,en
Joy Nmezi,family_and_kinship,person_name,wikidata,en
Michael Uadiale Jr.,family_and_kinship,person_name,wikidata,en
Ngozi Nwaneto,family_and_kinship,person_name,wikidata,en
Onyekachi Ejim,family_and_kinship,person_name,wikidata,en
Uche Nwadili,family_and_kinship,person_name,wikidata,en
Anthony Eloka Ogbu,family_and_kinship,person_name,wikidata,en
Morocco Maduka,family_and_kinship,person_name,wikidata,en
Awa k. Ndukwe,family_and_kinship,person_name,wikidata,en
Jessica Orishane,family_and_kinship,person_name,wikidata,en
Longinus Anyaaehiechukwu Anokwute,family_and_kinship,person_name,wikidata,en
Uzodima Esther,family_and_kinship,person_name,wikidata,en
Joey Akan,family_and_kinship,person_name,wikidata,en
Kelechukwu Nwachukwu Lucky,family_and_kinship,person_name,wikidata,en
Uzochukwu Jude Njoku,family_and_kinship,person_name,wikidata,en
Cheesy Vibes,family_and_kinship,person_name,wikidata,en
Boniface Offokaja,family_and_kinship,person_name,wikidata,en
Robert Azibaola,family_and_kinship,person_name,wikidata,en
Charles Anazodo,family_and_kinship,person_name,wikidata,en
Egbe Joy,family_and_kinship,person_name,wikidata,en
Ada Nduka Oyom,family_and_kinship,person_name,wikidata,en
Destiny Amaka,family_and_kinship,person_name,wikidata,en
Chioma Nwaoha,family_and_kinship,person_name,wikidata,en
Martina Egwuibe,family_and_kinship,person_name,wikidata,en
David Eribe King,family_and_kinship,person_name,wikidata,en
Tracy Chapele,family_and_kinship,person_name,wikidata,en
Uju Umo,family_and_kinship,person_name,wikidata,en
Mary Ngozi Nnamani,family_and_kinship,person_name,wikidata,en
Ngozika Mbajiorgu,family_and_kinship,person_name,wikidata,en
Chiagozie Udeh,family_and_kinship,person_name,wikidata,en
Chidi Hyginus Ugwu,family_and_kinship,person_name,wikidata,en
Ifeanyi Ossai,family_and_kinship,person_name,wikidata,en
Georgina Onuoha,family_and_kinship,person_name,wikidata,en
Charles Udenze Ilegbune,family_and_kinship,person_name,wikidata,en
Nwanko Kanu,family_and_kinship,person_name,wikidata,en
Arinze Ifeakandu,family_and_kinship,person_name,wikidata,en
Greg Chukwudi Nwakoby,family_and_kinship,person_name,wikidata,en
Obi Ozor,family_and_kinship,person_name,wikidata,en
Patricia Obila,family_and_kinship,person_name,wikidata,en
Blessing Abeng,family_and_kinship,person_name,wikidata,en
Nwaopara Anthony Obioma,family_and_kinship,person_name,wikidata,en
Iweka Friday Kenneth,family_and_kinship,person_name,wikidata,en
Chidiebere Nwaoma Uwa,family_and_kinship,person_name,wikidata,en
Casmir Ifeanyi,family_and_kinship,person_name,wikidata,en
Chioma Egondu Nwosu-Iheme,family_and_kinship,person_name,wikidata,en
Donald Ibe Ofili,family_and_kinship,person_name,wikidata,en
Obande Festus Ogbuinya,family_and_kinship,person_name,wikidata,en
Nto Philips OkpoOkore,family_and_kinship,person_name,wikidata,en
Gagami Egonmwan,family_and_kinship,person_name,wikidata,en
Sophia C. Madumere,family_and_kinship,person_name,wikidata,en
Chiamaka Okafor,family_and_kinship,person_name,wikidata,en
Godwin Emezue,family_and_kinship,person_name,wikidata,en
Monle Oyono,family_and_kinship,person_name,wikidata,en
Chinyere Ihuoma Ekomaro,family_and_kinship,person_name,wikidata,en
