entity,domain,subcategory,source,language
Denderu,food_and_cuisine,dish,wikidata,en
Rivers state native soup,food_and_cuisine,dish,wikidata,en
Gala sausage roll,food_and_cuisine,dish,wikidata,en
Semovita,food_and_cuisine,dish,wikidata,en
Burukutu,food_and_cuisine,dish,wikidata,en
Iyan,food_and_cuisine,dish,wikidata,en
Editan,food_and_cuisine,dish,wikidata,en
Chin chin,food_and_cuisine,dish,wikidata,en
draw soup,food_and_cuisine,dish,wikidata,en
frejon,food_and_cuisine,dish,wikidata,en
ogbono soup,food_and_cuisine,dish,wikidata,en
jollof rice,food_and_cuisine,dish,wikidata,en
pounded yam,food_and_cuisine,dish,wikidata,en
Yam and Spicy Egg Sauce,food_and_cuisine,dish,wikidata,en
Ayaraya Oka,food_and_cuisine,dish,wikidata,en
Omebe,food_and_cuisine,dish,wikidata,en
White Amala,food_and_cuisine,dish,wikidata,en
Ikọkọrẹ,food_and_cuisine,dish,wikidata,en
Dawanke,food_and_cuisine,dish,wikidata,en
Asun-iṣu,food_and_cuisine,dish,wikidata,en
Elubọ Ẹbẹ,food_and_cuisine,dish,wikidata,en
Ọjọjọ,food_and_cuisine,dish,wikidata,en
Lafun,food_and_cuisine,dish,wikidata,en
Bẹju,food_and_cuisine,dish,wikidata,en
Iṣapa,food_and_cuisine,dish,wikidata,en
Plantain Fufu,food_and_cuisine,dish,wikidata,en
Emeka Udemba,family_and_kinship,person_name,wikidata,en
Ndidi Dike,family_and_kinship,person_name,wikidata,en
Charles Newuche,family_and_kinship,person_name,wikidata,en
Christopher Osakwe,family_and_kinship,person_name,wikidata,en
Adaeze Yobo,family_and_kinship,person_name,wikidata,en
Adim Williams,family_and_kinship,person_name,wikidata,en
Adolphus Ofodile,family_and_kinship,person_name,wikidata,en
Adolphus Wabara,family_and_kinship,person_name,wikidata,en
Albert Okonkwo,family_and_kinship,person_name,wikidata,en
Allison Madueke,family_and_kinship,person_name,wikidata,en
Amadi Ikwechegh,family_and_kinship,person_name,wikidata,en
Amarachi Obiajunwa,family_and_kinship,person_name,wikidata,en
Anthony E. Oguguo,family_and_kinship,person_name,wikidata,en
Anthony Obi,family_and_kinship,person_name,wikidata,en
Anthony Onyearugbulem,family_and_kinship,person_name,wikidata,en
Anya Oko Anya,family_and_kinship,person_name,wikidata,en
Anyim Pius Anyim,family_and_kinship,person_name,wikidata,en
Anyimchukwu Ude,family_and_kinship,person_name,wikidata,en
Ifeanyi Okowa,family_and_kinship,person_name,wikidata,en
Ayogu Eze,family_and_kinship,person_name,wikidata,en
Ben Enwonwu,family_and_kinship,person_name,wikidata,en
Bianca Odumegwu-Ojukwu,family_and_kinship,person_name,wikidata,en
Bob Nwannunu,family_and_kinship,person_name,wikidata,en
Boniface Okafor,family_and_kinship,person_name,wikidata,en
Catherine Obianuju Acholonu,family_and_kinship,person_name,wikidata,en
Charles A. Adeogun-Phillips,family_and_kinship,person_name,wikidata,en
Charles Chinedu Okeahalam,family_and_kinship,person_name,wikidata,en
Charles Okonkwo,family_and_kinship,person_name,wikidata,en
Charles Ugwuh,family_and_kinship,person_name,wikidata,en
Charly Boy,family_and_kinship,person_name,wikidata,en
Chibudom Nwuche,family_and_kinship,person_name,wikidata,en
Chibuike Okeke,family_and_kinship,person_name,wikidata,en
Chibuzor Chilaka,family_and_kinship,person_name,wikidata,en
Chico Ejiro,family_and_kinship,person_name,wikidata,en
Chidi Edeh,family_and_kinship,person_name,wikidata,en
Chidi Kwubiri,family_and_kinship,person_name,wikidata,en
Chidi Omeje,family_and_kinship,person_name,wikidata,en
Chief Stephen Osita Osadebe,family_and_kinship,person_name,wikidata,en
Chigozie Christopher,family_and_kinship,person_name,wikidata,en
Chijioke Ejiogu,family_and_kinship,person_name,wikidata,en
Chika Ike,family_and_kinship,person_name,wikidata,en
Chika Okeke-Agulu,family_and_kinship,person_name,wikidata,en
Chika Wali,family_and_kinship,person_name,wikidata,en
Chikadibia Isaac Obiakor,family_and_kinship,person_name,wikidata,en
Chike Aniakor,family_and_kinship,person_name,wikidata,en
